Date,Open,High,Low,Close,Volume
2026-05-28,1262.0601806640625,1262.0601806640625,1262.0601806640625,1262.0601806640625,0
2026-05-29,1264.4401034217194,1277.0340036893715,1237.4675446174365,1245.896484375,31007884
2026-06-01,1246.5906197801364,1251.3505402000205,1225.5679002002253,1229.3360595703125,9911975
2026-06-02,1222.692101166893,1227.3527606751832,1210.4948809348448,1216.3455810546875,17920892
2026-06-03,1209.7016025437176,1237.8642014111729,1203.5533622069204,1231.6168212890625,13934754
2026-06-04,1221.8987381131592,1251.7471984286103,1221.8987381131592,1241.2357177734375,19461560
2026-06-05,1246.4914883012805,1254.4246083541127,1239.5500082550523,1251.548828125,10166393
2026-06-08,1235.98013161075,1243.516571470306,1232.7076711606426,1239.748291015625,10714196
2026-06-09,1244.5081432866116,1269.2000023713417,1242.2273229706288,1264.3409423828125,22368579
2026-06-10,1260.6719575059049,1295.0818164605482,1260.6719575059049,1282.488037109375,25951584
2026-06-11,1275.7448484381675,1321.8561080202699,1275.7448484381675,1305.9898681640625,35919374
2026-06-12,1318.881182108178,1333.0616823357286,1307.6756018402702,1329.5909423828125,18339846
2026-06-15,1343.2755003149457,1351.3077599885314,1314.2205213660739,1316.501220703125,16172921
2026-06-16,1320.7653035280132,1326.1201835892518,1315.2121438922036,1323.145263671875,13069159
2026-06-17,1330.7808691866162,1334.7474291543856,1322.2527894658729,1325.6243896484375,8026424
2026-06-18,1322.4510288431072,1335.6398887549333,1320.2694693470728,1331.078369140625,13467985
2026-06-19,1329.293324489997,1340.994724069171,1320.8643850956182,1335.2431640625,9057322
2026-06-22,1341.6888318212496,1351.307690769155,1337.1273123310036,1341.0938720703125,4814845
2026-06-23,1346.647075338441,1357.654254763427,1320.3686162099664,1327.11181640625,11884879
2026-06-24,1329.3925787519856,1366.0832592753275,1329.3925787519856,1362.11669921875,16440708
2026-06-25,1370.3473528540349,1392.2625728462838,1368.562352417643,1375.9005126953125,17173209
2026-06-26,1375.9005126953125,1375.9005126953125,1375.9005126953125,1375.9005126953125,0
2026-06-29,1378.379593988644,1390.2792739367474,1371.6363935981306,1375.9996337890625,13249405
2026-06-30,1390.2792468566804,1390.2792468566804,1354.6793474953972,1363.7032470703125,18398057
2026-07-01,1359.935092537661,1373.5205118412996,1356.2659519824388,1368.264892578125,11948034
2026-07-02,1370.347360452637,1393.2542205810548,1365.2900205878914,1388.2960205078125,15779429
2026-07-03,1402.1789477753737,1408.128787723501,1394.1466880553623,1399.6007080078125,12901785
2026-07-06,1400.1956098660596,1419.6317286825692,1399.7989296759679,1414.9710693359375,12306949
2026-07-07,1419.6317869331858,1421.0201071305735,1398.212387337131,1402.873046875,15664178
2026-07-08,1398.5098849300493,1406.4430046152802,1364.397446073597,1369.05810546875,10573142
2026-07-09,1371.3389070760331,1391.8658055614053,1365.7857475821456,1369.1572265625,13948838
2026-07-10,1378.081980498166,1396.4273194454097,1377.9828407138161,1389.48583984375,6409645
2026-07-13,1381.850313043882,1401.1872926666704,1374.710553603081,1397.716552734375,10091437
2026-07-14,1388.2959393084109,1399.9973392167874,1380.36281965522,1395.9315185546875,14133017
2026-07-15,1401.0881343697583,1416.061873669893,1397.4189938599209,1404.3604736328125,12961648
2026-07-16,1408.2278901435363,1411.7977698077207,1394.4440704195183,1406.34375,10165264
2026-07-17,1410.2112272612976,1442.935347434669,1407.8312670387277,1432.2257080078125,11112550
2026-07-20,1432.4239762420166,1467.6271961496604,1427.4657762550246,1447.99267578125,22236415
2026-07-21,1457.7107481698004,1461.5781682422519,1444.4227484323062,1450.868408203125,18269907
2026-07-22,1454.1408592092237,1454.1408592092237,1426.374940373995,1428.6556396484375,8345136
2026-07-23,1420.5242697074934,1433.9114094220142,1414.673569622298,1422.606689453125,12409328
2026-07-24,1416.0618385071728,1427.9615178223592,1403.5671994361867,1420.9208984375,10870914
2026-07-27,1423.6974916567503,1436.8863520032721,1416.8552725346733,1433.6138916015625,10608300
2026-07-28,1430.2423604987887,1433.8122401392648,1405.7487808950839,1418.8385009765625,19486209
2026-07-29,1430.4406700852692,1436.3905099608405,1416.557710375603,1425.879150390625,10856166
2026-07-30,1419.13595728037,1430.143136895818,1410.7070174140658,1421.91259765625,14141173
2026-07-31,1422.309244666781,1429.8456841613988,1419.4334645695478,1423.4000244140625,8752440
2026-08-03,1442.0,1460.0,1433.0,1460.0,7706747
2026-08-04,1452.0,1454.5999755859375,1430.800048828125,1454.5999755859375,11458963
2026-08-05,1454.5999755859375,1454.5999755859375,1431.199951171875,1450.0999755859375,11723296
2026-08-06,1460.0,1460.0,1448.300048828125,1457.5,14954726
2026-08-07,1451.0,1455.0,1418.199951171875,1421.0,14395789
2026-08-10,1428.0999755859375,1441.9000244140625,1415.5,1431.800048828125,12749354
2026-08-11,1432.0999755859375,1434.0,1412.199951171875,1429.5999755859375,10471914
2026-08-12,1429.4000244140625,1435.0,1418.5999755859375,1431.699951171875,8201733
2026-08-13,1429.0,1429.0,1406.4000244140625,1406.800048828125,11408206
2026-08-14,1403.0,1417.800048828125,1401.0,1417.0,6097934
2026-08-17,1418.0,1423.5999755859375,1407.0,1415.300048828125,5605603
2026-08-18,1410.0,1416.5999755859375,1406.300048828125,1412.0,8345198
2026-08-19,1412.0,1416.0,1391.5,1402.0,10303937
